ID,dmitry_adaboost_classifier
1,84167.39285714286
3,88912.0
4,31374.285714285714
8,118735.07142857143
10,50174.5
13,72250.32142857143
14,85199.10714285714
18,71264.42857142857
20,141233.32142857142
23,53060.07142857143
25,93178.64285714286
26,124050.07142857143
29,81363.10714285714
31,8702.07142857143
32,98201.57142857143
34,105657.32142857143
36,148345.75
39,53595.57142857143
42,4472.214285714285
43,97639.25
45,77896.03571428571
49,98925.21428571429
51,121436.46428571429
54,123983.0
56,148355.7857142857
60,16748.785714285714
61,75462.28571428571
66,114456.32142857143
68,50557.357142857145
74,13931.857142857143
75,4193.214285714285
77,149101.60714285713
80,118452.5
82,76707.14285714286
83,123719.5
84,76562.21428571429
87,149329.67857142858
88,133814.14285714287
90,14602.5
91,46891.57142857143
92,140406.2857142857
93,1011.9285714285714
95,47726.5
101,54099.892857142855
102,105491.35714285714
105,71702.53571428571
106,24818.35714285714
107,28527.821428571428
109,15557.964285714286
111,138309.57142857142
113,34020.857142857145
115,1718.642857142857
118,145619.10714285713
122,58.142857142857146
125,86140.28571428571
127,19615.714285714286
130,130613.0
131,118200.42857142857
132,95658.64285714286
134,7654.785714285715
135,58893.0
136,105503.32142857143
137,84441.67857142857
139,114381.85714285714
140,43201.642857142855
141,141550.07142857142
142,84450.67857142857
143,32167.428571428572
144,57765.28571428572
145,104972.42857142857
146,10401.964285714286
148,94915.5
150,113459.35714285714
151,52641.78571428572
152,100272.78571428571
153,64285.142857142855
154,150111.14285714287
155,17494.428571428572
156,35492.53571428572
157,22569.678571428572
159,96273.64285714286
161,59159.57142857143
162,124387.07142857143
163,6037.785714285715
165,19692.60714285714
166,59932.607142857145
169,79265.89285714286
170,28443.571428571428
171,137324.75
172,113697.64285714286
173,1390.607142857143
175,21977.85714285714
176,73149.10714285714
177,106841.42857142857
178,9882.75
179,45738.03571428572
180,51160.25
182,151039.10714285713
183,95498.35714285714
184,6666.928571428572
186,34066.71428571428
188,70160.78571428571
191,47922.82142857143
192,12843.285714285714
193,4344.821428571428
195,106884.35714285714
196,99813.0
199,125417.28571428571
200,59562.357142857145
202,145749.25
203,145880.7142857143
204,111167.60714285714
206,91868.35714285714
207,38651.21428571428
209,110123.21428571429
210,37141.17857142857
212,89471.10714285714
213,109565.85714285714
214,69068.92857142857
215,103251.64285714286
217,71309.14285714286
218,114015.64285714286
220,29248.571428571428
221,59464.5
222,105720.10714285714
225,43417.07142857143
227,12895.714285714286
228,77601.0
231,64193.42857142857
232,91730.5
233,33149.21428571428
234,3883.3928571428573
235,81161.03571428571
236,119595.21428571429
239,34077.78571428572
241,53698.78571428572
242,21605.5
244,78655.71428571429
252,86104.32142857143
253,65342.71428571428
254,73343.21428571429
258,139171.67857142858
259,121308.10714285714
262,36298.642857142855
265,134602.10714285713
266,116782.92857142857
269,81959.75
270,56430.92857142857
271,109690.92857142857
273,5312.714285714285
276,98178.85714285714
279,98537.5
285,100345.71428571429
287,102641.71428571429
288,113751.21428571429
289,15654.0
292,146473.2857142857
294,151354.32142857142
296,12081.357142857143
299,19761.464285714286
301,42972.28571428572
302,105876.71428571429
303,140768.85714285713
306,142358.82142857142
307,56242.0
311,87141.25
314,70156.78571428571
316,22744.5
319,137849.2857142857
320,37782.96428571428
322,48920.28571428572
324,137177.0357142857
332,41759.71428571428
333,35012.25
340,41646.357142857145
342,33964.96428571428
344,58855.21428571428
345,80249.67857142857
347,12525.0
349,59027.92857142857
353,147928.4642857143
354,97220.85714285714
355,65331.03571428572
356,76311.57142857143
359,547.6785714285714
362,47213.28571428572
363,113961.14285714286
369,32415.214285714286
371,136587.82142857142
373,131839.32142857142
374,140546.42857142858
375,55204.21428571428
378,92056.71428571429
382,58923.32142857143
383,93248.35714285714
384,117879.82142857143
387,34547.392857142855
388,82357.03571428571
390,20578.321428571428
394,115509.64285714286
402,65633.25
404,33662.67857142857
407,28782.785714285714
408,138288.35714285713
410,75662.71428571429
412,146109.67857142858
414,65975.5
415,6828.928571428572
416,53079.71428571428
417,41656.92857142857
420,124310.85714285714
421,13696.75
423,88476.28571428571
426,71316.85714285714
428,19891.714285714286
429,67802.21428571429
432,16643.60714285714
433,7083.714285714285
436,12039.67857142857
440,142765.9642857143
441,14801.42857142857
443,12649.214285714286
444,100669.57142857143
445,80244.96428571429
447,81485.57142857143
448,92368.28571428571
449,30475.571428571428
453,61975.17857142857
456,123887.57142857143
457,135355.75
458,116138.89285714286
459,31610.071428571428
460,26118.678571428572
461,123412.71428571429
462,70532.17857142857
466,76935.07142857143
469,91066.25
471,83498.21428571429
474,127950.5
477,137266.2857142857
478,90987.0
480,66744.75
482,88039.25
485,62537.75
488,82493.28571428571
