ID,dmitry_ftrl2
1,77736.82142857143
3,24294.25
4,15835.92857142857
8,69856.71428571429
10,41066.892857142855
13,84508.92857142857
14,81500.78571428571
18,64190.46428571428
20,145421.5357142857
23,69064.28571428571
25,119739.75
26,126109.85714285714
29,71693.0
31,35161.96428571428
32,108412.92857142857
34,115773.92857142857
36,139378.07142857142
39,97582.46428571429
42,97727.67857142857
43,71833.75
45,82348.64285714286
49,71506.75
51,53930.53571428572
54,87823.67857142857
56,143710.25
60,132150.57142857142
61,83658.17857142857
66,120377.0
68,46928.142857142855
74,39791.67857142857
75,112201.5
77,138176.67857142858
80,126576.42857142857
82,53150.53571428572
83,127298.67857142857
84,80497.21428571429
87,145140.4642857143
88,113184.46428571429
90,16625.285714285714
91,41088.857142857145
92,138386.85714285713
93,27499.39285714286
95,49438.03571428572
101,54931.71428571428
102,71485.96428571429
105,76703.92857142857
106,21732.35714285714
107,2199.4285714285716
109,16283.892857142857
111,150738.5
113,16357.857142857143
115,20380.35714285714
118,137097.2142857143
122,5338.142857142857
125,66347.07142857143
127,4028.8214285714284
130,125896.07142857143
131,124035.71428571429
132,101684.67857142857
134,6419.25
135,79093.64285714286
136,55815.75
137,80002.85714285714
139,127268.39285714286
140,44661.392857142855
141,143059.0
142,69017.07142857143
143,16092.964285714286
144,81822.03571428571
145,111063.96428571429
146,5285.5
148,89747.53571428571
150,88134.32142857143
151,42146.21428571428
152,111033.25
153,47035.0
154,147012.92857142858
155,21525.10714285714
156,16361.892857142857
157,7174.857142857143
159,118517.5
161,80333.25
162,129854.39285714286
163,36739.0
165,27784.60714285714
166,78398.0
169,65625.35714285714
170,44050.71428571428
171,142686.57142857142
172,96870.35714285714
173,12578.92857142857
175,35971.107142857145
176,56925.17857142857
177,79096.60714285714
178,5378.035714285715
179,57003.42857142857
180,54334.142857142855
182,134412.57142857142
183,110635.5
184,4557.285714285715
186,23931.535714285714
188,67175.5
191,14724.107142857143
192,3148.5714285714284
193,40491.71428571428
195,103837.89285714286
196,99287.42857142857
199,104242.07142857143
200,47320.5
202,145242.9642857143
203,145023.5357142857
204,107739.78571428571
206,97260.46428571429
207,3516.714285714286
209,90792.5
210,9534.25
212,86705.03571428571
213,126663.64285714286
214,94246.71428571429
215,99245.35714285714
217,92062.71428571429
218,96981.57142857143
220,22656.928571428572
221,75500.53571428571
222,96300.85714285714
225,45415.0
227,14456.035714285714
228,68163.03571428571
231,99605.60714285714
232,121566.5
233,45140.392857142855
234,32245.85714285714
235,80361.17857142857
236,110871.14285714286
239,56449.28571428572
241,52341.21428571428
242,6391.535714285715
244,66005.17857142857
252,99909.28571428571
253,81135.14285714286
254,67891.64285714286
258,141327.07142857142
259,102208.67857142857
262,24045.5
265,141909.07142857142
266,94664.28571428571
269,83727.14285714286
270,25635.285714285714
271,96703.64285714286
273,18685.821428571428
276,68177.0
279,73711.14285714286
285,114340.89285714286
287,100528.46428571429
288,118229.53571428571
289,16937.39285714286
292,143351.0357142857
294,140925.85714285713
296,54977.142857142855
299,9590.107142857143
301,55124.28571428572
302,84715.28571428571
303,134150.10714285713
306,148596.75
307,72512.5
311,62053.25
314,82312.17857142857
316,42746.96428571428
319,135986.4642857143
320,17371.285714285714
322,26118.178571428572
324,149390.7142857143
332,30220.928571428572
333,37660.17857142857
340,43801.53571428572
342,17930.428571428572
344,83186.10714285714
345,68854.42857142857
347,3324.214285714286
349,81511.28571428571
353,136832.7142857143
354,129804.03571428571
355,66355.25
356,105556.21428571429
359,9732.07142857143
362,48292.107142857145
363,120578.89285714286
369,20767.5
371,150492.35714285713
373,137316.60714285713
374,132274.0357142857
375,34844.607142857145
378,88365.57142857143
382,80838.53571428571
383,116728.32142857143
384,101190.14285714286
387,22950.10714285714
388,67895.78571428571
390,15858.67857142857
394,128510.5
402,72543.89285714286
404,23823.285714285714
407,7439.321428571428
408,133773.57142857142
410,79425.32142857143
412,145697.2142857143
414,79203.10714285714
415,43255.46428571428
416,49039.42857142857
417,38531.607142857145
420,107885.64285714286
421,1759.5
423,101827.82142857143
426,75048.07142857143
428,23594.785714285714
429,63701.5
432,12242.07142857143
433,59775.78571428572
436,1989.7857142857142
440,137645.67857142858
441,30162.964285714286
443,3657.3928571428573
444,89435.28571428571
445,72753.71428571429
447,84528.46428571429
448,111065.14285714286
449,28282.25
453,52888.357142857145
456,115301.07142857143
457,141812.32142857142
458,85398.60714285714
459,22129.071428571428
