ID,ikki_xgb1,ikki_xgb2
1,0.7401358035261497,0.7417493759755527
3,0.571283679208625,0.5748862266772921
4,0.09271126273569684,0.09212510784591373
8,0.6393435065234429,0.6407265686229312
10,0.38999716801570106,0.3888577882861226
13,0.4582348176004531,0.457964791190553
14,0.5985695186285293,0.5977265093488412
18,0.4656572508677068,0.4629504007587084
20,0.9415359892516316,0.941529403241634
23,0.4094785855884929,0.4085038561088536
25,0.5295415478440696,0.5275262287848153
26,0.7925406850767599,0.7906636722274545
29,0.6948240547429151,0.6895157306848791
31,0.19077695159941246,0.1912906603792225
32,0.6567108148870171,0.6706599840618558
34,0.7088061539677417,0.7084175793778855
36,0.9268096708970804,0.9266252626171486
39,0.33702588960530044,0.3299327568379249
42,0.2941575505311617,0.3061375027167291
43,0.5524674486455871,0.5523554864756285
45,0.5082226334819576,0.5084399718118772
49,0.6880470504554226,0.6901150575946574
51,0.8096577250604267,0.8105731804500881
54,0.8106258685300685,0.8126411875893228
56,0.9534830113872113,0.9541877144569504
60,0.6603528784156695,0.6649564994039661
61,0.4687921916265469,0.4701357376660498
66,0.8190691333469444,0.818818864967037
68,0.30722419436632703,0.3074876347662296
74,0.22738199516586866,0.2243524305669896
75,0.4284331223614797,0.4268985820320475
77,0.9585147230253496,0.9604641819846282
80,0.6564144444371267,0.6580016728465394
82,0.5294954457740867,0.5338949004524589
83,0.8205509855963962,0.8195038100067836
84,0.5020778861542312,0.5001284271949524
87,0.9811113233269888,0.9812628015569328
88,0.8981473553876855,0.9006236951467692
90,0.036361361196546295,0.03613085084663158
91,0.2691834006204021,0.2692690187503705
92,0.9109176287729605,0.9103578179231676
93,0.12676752043309605,0.12681362250307895
95,0.3310392065175155,0.328016227928634
101,0.3494800345106924,0.3543470958988916
102,0.8551736401535858,0.8529739128143996
105,0.4451286577053024,0.4442988204456094
106,0.17764444766427154,0.18027226565329926
107,0.2272700329959101,0.2288770194353155
109,0.13166092586128544,0.12574010287347615
111,0.8636827650704374,0.8628002397307639
113,0.23352015648359756,0.23362553264355854
115,0.04555543115314449,0.045957177762995835
118,0.933435196954629,0.9320455488451432
122,0.29382825003128354,0.2926361822217246
125,0.5969757042091189,0.5991359154883197
127,0.07623965173179133,0.08029663389029025
130,0.8766506187556393,0.8745430955564191
131,0.5983258362586195,0.5953555457497185
132,0.5694198383793146,0.5728248055480548
134,0.13943900366840756,0.1350527210100305
135,0.3575281387277146,0.3681843029037718
136,0.5540546770549998,0.5557275235943808
137,0.6695140183222799,0.6661880832735104
139,0.6043652074263849,0.6036868483966359
140,0.3339765669764287,0.3318492857472158
141,0.9418916337915,0.9417928436415368
142,0.6603133623556839,0.6605109426556109
143,0.0927902948556676,0.09088693796637183
144,0.2979313342597654,0.2975625176999019
145,0.8218023274959332,0.8219011176458966
146,0.019099428992933213,0.018342037843213446
148,0.7689561832754862,0.7650375073269361
150,0.8875570513116039,0.8878402497414991
151,0.28417315937485593,0.284337809624795
152,0.403386526340747,0.40002766124198974
153,0.2400007903211997,0.2373861443521671
154,0.9140789135717908,0.9137430270619152
155,0.1686611300275954,0.1681408352377879
156,0.15236075528362653,0.15273615785348765
157,0.1608632941904806,0.15718830061184033
159,0.643051430152071,0.6455541139511449
161,0.2992353642392829,0.29939342847922445
162,0.7693184138253522,0.7715378991945309
163,0.17938974031362578,0.17200023709635992
165,0.1619499858400785,0.15743856899174774
166,0.3152920566133419,0.3167673228527961
169,0.5534685221652167,0.5503599254463668
170,0.2389799587715774,0.2391775390715043
171,0.8768350270355709,0.8776977943452519
172,0.7671055144661709,0.7695028221052841
173,0.1975078538169221,0.19167264895908112
175,0.20634627923365187,0.2031586503948313
176,0.4651171980479066,0.4668888347372511
177,0.5607855792725094,0.5601664943327384
178,0.05540151609950144,0.05612597719923339
179,0.3635806819154752,0.3579101273075733
180,0.1780132642241351,0.17572791875498067
182,0.9989396523903924,0.9989198943603996
183,0.39286208236464093,0.38999716801570106
184,0.007718803717144044,0.007850523917095306
186,0.11898285661597635,0.112172922278496
188,0.6503421432193734,0.6476879811903554
191,0.2295948945250499,0.23836745984180405
192,0.024085038561088536,0.02442092507096426
193,0.2185633277791316,0.22073671107832746
195,0.6836080797170649,0.6842666807168213
196,0.7543154830509032,0.7541376607809691
199,0.8311412896724777,0.8317208585522633
200,0.4229601480535048,0.4205957704643796
202,0.9440847751206888,0.9446841020304668
203,0.9726746445201104,0.9729249129000178
204,0.6901545736546428,0.6914059155541799
206,0.4000803493219703,0.4038014449705935
207,0.2423585819003273,0.24509177604931606
209,0.6946133024229931,0.6889822638750766
